Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
"Lo unico que quiero ",Abel Zabala,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=gKPjGrhVLNg&si=nWH2F7KMah9CnQ7c,Yes
No basta,Juan Carlos Alvarado,"Confesión / Arrepentimiento, Consagración / Entrega, Evangelización / Misión",Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=LXMLHk1al4k&si=xI-Oe9VTLDb9yzhn,Yes
"Esperar en tí ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=n7UQxs49DGU&si=DT0EZVMt2l8Z_sSW,Yes
"A sus pies ",Jesús A. Romero,Confesión / Arrepentimiento,"Balada congregacional, Especial",Dominada,Ensamblada,Intermedia,https://music.youtube.com/watch?v=2TGRgpyy_bU&si=amAkNFSCLIDmJ-ld,Yes
,,,,,,,,No
"Soberano ",Hillsong,"Acción de Gracias, Confesión / Arrepentimiento, Consagración / Entrega",Worship contemporáneo,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=XavMcEtGRE8&si=2Xon1vnMz80cpyvv,Yes
"De tal manera me amo ",Abel Zabala,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=bXh0rfByyuU&si=4ZpQ_avjea1wHU9C,Yes
"Sentado en su trono ",Jesús A. Romero,"Declaración Doctrinal, Exaltación / Gloria",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=2SOMVaUavl4&si=CdwAByAbqIVdFSWA,Yes
Bajo sus pies (Mas que vencedor),Jesús A. Romero,"Declaración Doctrinal, Gozo / Celebración",Celebración Rítmica,Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=XvSrcunrIFs&si=_hy2gfS65s6AzTwP,No
"Jesús El Señor ",Jesús A. Romero,Declaración Doctrinal,Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=PWD2TlW10k0&si=zDItBOi-Nux3iuIU,Yes
"No es cómo yo ",Jesús A. Romero,"Declaración Doctrinal, Exaltación / Gloria","Balada congregacional, Especial",Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=LZlyuElmhOs&si=xx00cAFKta0HPZ2O,No
"Tal como soy ",Jesús A. Romero,"Clamor / Intercesión, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=bWmOXIg7j24&si=jrFmJJpVjOAVXZgC,Yes
"Es por tu gracia ",Jesús A. Romero,"Confesión / Arrepentimiento, Consagración / Entrega",Especial,Dominada,Por practicar,Básica,https://music.youtube.com/watch?v=p35EDzSIi8w&si=EKTFdL9nPDKXequF,No
"Mi corazón te canta ",Jesús A. Romero,Acción de Gracias,"Balada congregacional, Especial",Dominada,Montada,Básica,https://music.youtube.com/watch?v=GzpGyLQ3ETg&si=lfdjgk5svazUwMe5,No
"Me dice que me ama ",Jesús A. Romero,"Consagración / Entrega, Evangelización / Misión",Especial,Dominada,Por practicar,Básica,https://music.youtube.com/watch?v=4LJApZZwkkw&si=AANkYfcSaJFRseTK,No
"Prefiero a Cristo ",Jesús A. Romero,Consagración / Entrega,Balada congregacional,Conocida,Ensamblada,Intermedia,https://music.youtube.com/watch?v=40U8jhITFNE&si=I7ypWMH4Ke_M_Dc_,No
"Celebraré tu amor ",Jesús A. Romero,Gozo / Celebración,Celebración Rítmica,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=lSn9Y8zNcjg&si=i0n5gNpAIqrlGe-p,Yes
Tú has sido fiel,Jesús A. Romero,Acción de Gracias,Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=9rQOQotNnpc&si=esxRAexTkkixFax4,No
"Es jesús ",Danilo Montero,"Acción de Gracias, Exaltación / Gloria",Celebración Rítmica,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=Yu_erTjtyj8&si=r4toVCwGwZHChlnC,No
"Te deseo ",Majo y Dan,Consagración / Entrega,Worship contemporáneo,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=gXKhpujngHU&si=KnvI9JIORN9f1rqG,No
"Amor Inagotable ",Marco Barrientos,"Confesión / Arrepentimiento, Consagración / Entrega",Worship contemporáneo,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=LO8QXLMTdxo&si=M5zgOtb4d6dP8nP1,Yes
"A ti sea la gloria ",Marcela Gándara,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=NMb7zQudh5w&si=sMbV1i2MUTDvDUbl,No
"Mi roca ",Hillsong,"Consagración / Entrega, Declaración Doctrinal",Worship contemporáneo,Dominada,Montada,Básica,https://music.youtube.com/watch?v=LFPErWrYZCU&si=jLehLMgnDijmQbSA,Yes
Glorioso,,,,,,,,No
"Bienvenido Espíritu Santo ",Miel San Marcos,Exaltación / Gloria,Celebración Rítmica,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=8FNTUOSi-YE&si=XSH3dLg5_6GI9ZSE,Yes
"Pan de vida ",Jesús A. Romero,"Declaración Doctrinal, Evangelización / Misión",Balada congregacional,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=Bdtlo2luEPo&si=T3kH0dUWli0_sJZ5,No
"Salmo 23 ",Un Corazón,"Consagración / Entrega, Declaración Doctrinal",Worship contemporáneo,Conocida,Por practicar,Intermedia,https://music.youtube.com/watch?v=Bdtlo2luEPo&si=T3kH0dUWli0_sJZ5,Yes
"De gloria de gloria ",Marco Barrientos,Gozo / Celebración,Celebración Rítmica,Dominada,Por practicar,Intermedia,https://music.youtube.com/watch?v=I50l_0ODoB4&si=KRYT3sfVDE2FG_yx,No
Alaba a Dios,Danny Berrios,"Clamor / Intercesión, Exaltación / Gloria",Balada congregacional,Dominada,Montada,Básica,,No
"Porque bueno es Dios ",Jaime Murrell,"Acción de Gracias, Exaltación / Gloria",Celebración Rítmica,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=oIQyarLXb8g&si=QzXCSUWONvk-Gi_w,No
Tu hijo soy,Barak,Gozo / Celebración,Worship contemporáneo,Nueva,Por entrar,Intermedia,https://music.youtube.com/watch?v=bDLPPrQSSyk&si=UocUbXzxqf2TAD_X,Yes
"En la cruz ",,,,,,,,No
"En esto creo ",Hillsong,Declaración Doctrinal,Worship contemporáneo,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=pgkPf0gWLFc&si=yG-nwuroQohZXPlU,Yes
