Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
Dulce refugio,Danilo Montero,"Declaración Doctrinal, Evangelización / Misión",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=MDn-_A2zfkM&si=QSgM8Q8bHfykk__m,No
"Te exaltamos ",Marcos Witt,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=ZLHVGxR-gAo&si=f-j0Eo2PGN-93fZ4,No
"Hay momentos ",Danilo Montero,"Clamor / Intercesión, Consagración / Entrega",Balada congregacional,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=8G4Gr9gKTTg&si=o8CicVCSDVZkdI3r,No
Eres mi amigo fiel,Coalo Zamorano,"Exaltación / Gloria, Gozo / Celebración","Celebración Rítmica, Especial",Dominada,Ensamblada,Intermedia,https://music.youtube.com/watch?v=Uhcs42IFh4Q&si=NU2sbLzzIKLygCxG,Yes
Ven es hora de adorarle,Marco Barrientos,Exaltación / Gloria,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=qAKn-1q1qiY&si=UbErw75CAl_B_zZq,Yes
Yo te busco,Marcos Witt,"Clamor / Intercesión, Declaración Doctrinal, Exaltación / Gloria","Balada congregacional, Especial",Dominada,Montada,Básica,https://music.youtube.com/watch?v=EN_c6I_lV9o&si=kKZFqxM2LJweFpU2,Yes
Mi Universo,Jesús A. Romero,Consagración / Entrega,Balada congregacional,Dominada,Ensamblada,Básica,https://music.youtube.com/watch?v=jWXm1oZIgYo&si=NsoyJvtf1IpmA7gd,No
Con Mis Manos Levantadas,Danilo Montero,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=xjc4tBCTlvM&si=Ea2kd9CWiIJjDdtb,No
Tu Fidelidad,Marcos Witt,Acción de Gracias,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=ZhWynMPlqxo&list=PLgtaTwebsGeWRnL8UR1pZg_ThtYg6OkPM,Yes
Venció,Marcos Witt,Gozo / Celebración,Celebración Rítmica,Dominada,Por practicar,Intermedia,https://music.youtube.com/watch?v=_3RahEjgSII&si=fKfuRaYYk5V0ArFK,Yes
